ID,TotalValue,Borough,SchoolDistrict,Council,FireService,PolicePrct,HealthArea,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Class,LandUse,Easements,OwnerType,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Extension,Proximity,IrregularLot,LotType,BasementType,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,Built,HistoricDistrict,High
1006230048,309579,Manhattan,02,3,Ladder,6,6100,Residential,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,2538,6144,0,6144,0,0,0,0,0,0,2,4,2,2,25,101.5,23,62,Unknown,Not Available,No,Inside,Unknown,No,2.42,2.43,0,4.8,18th Century,Yes,FALSE
1006230050,666450,Manhattan,02,3,Ladder,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2821,6740,0,6740,0,0,0,0,0,0,1,4,11,11,25.17,112,25,54,Extension,Attached,Yes,Inside,Full Basement Above Grade,No,2.39,2.43,0,4.8,18th Century,Yes,FALSE
1006240008,306676,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2207,8276,0,8276,0,0,0,0,0,0,1,4,7,7,34.92,66,35,68,Unknown,Attached,Yes,Inside,Full Basement Above Grade,No,3.75,3.44,2,6.5,18th Century,Yes,FALSE
1006240021,821700,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Private,1400,6476,1100,5376,0,1100,0,0,0,0,1,5,12,14,21.83,76.33,22,77,Extension,Attached,Yes,Corner,Full Basement Below Grade,No,4.63,3.44,2,6.5,18th Century,Yes,FALSE
1006240047,235969,Manhattan,02,3,Ladder,6,6100,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1631,3432,0,3432,0,0,0,0,0,0,1,4,8,8,25.25,65,25,39,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,2.1,2.43,0,4.8,18th Century,Yes,FALSE
1006250019,199894,Manhattan,02,3,Ladder,6,6100,Residential,Commercial,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,948,3028,0,3028,0,0,0,0,0,0,1,3,1,1,21,43.92,21,34,Unknown,Attached,Yes,Inside,Full Basement Above Grade,No,3.19,2.43,0,4.8,18th Century,Yes,FALSE
1006250044,376489,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1980,8560,400,8160,0,400,0,0,0,0,1,5,8,9,19,80,23,74,Unknown,Attached,Yes,Corner,Full Basement Below Grade,No,4.32,3.44,2,6.5,18th Century,Yes,FALSE
1006250052,428415,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1540,3998,1947,2051,0,1947,0,0,0,0,2,3,4,6,55.08,37,30,36,Unknown,Attached,Yes,Inside,Unknown,No,2.6,3.44,2,6.5,18th Century,Yes,FALSE
1006250055,910350,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Hotel,Commercial & Office Buildings,0,Unknown,800,2293,0,0,0,0,0,0,0,0,1,3,0,1,18.5,52,19,40,Extension,Attached,Yes,Inside,Full Basement Below Grade,No,2.87,3.44,2,6.5,18th Century,Yes,FALSE
1006260030,140671,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Two Family,One &Two Family Buildings,0,Unknown,1200,3300,0,3300,0,0,0,0,0,0,1,3,2,2,20,60.75,20,55,Extension,Attached,Yes,Inside,Partial Basement Below Grade,No,2.75,3.44,2,6.5,18th Century,Yes,FALSE
1006260044,107260,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,803,5803,1915,3888,0,1915,0,0,0,0,1,3,1,3,55.42,37.67,55.42,29.17,Extension,Attached,Yes,Inside,Unknown,No,7.23,3.44,2,6.5,18th Century,Yes,FALSE
1006260046,386144,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1894,4746,2052,2694,0,2052,0,0,0,0,1,3,3,4,19,87.75,15,79,Extension,Attached,Yes,Corner,Unknown,No,2.51,3.44,2,6.5,18th Century,Yes,FALSE
1006270001,197511,Manhattan,02,3,Ladder,6,6100,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Private,1350,3302,0,3302,0,0,0,0,0,0,1,3,1,1,20,60,20,60,Unknown,Attached,Yes,Inside,Partial Basement Below Grade,No,2.45,2.43,0,4.8,18th Century,Yes,FALSE
1006290025,518261,Manhattan,02,3,Ladder,6,6100,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2581,8250,0,8250,0,0,0,0,0,0,1,5,7,9,25,103.25,25,66,Unknown,Attached,No,Inside,Full Basement Below Grade,No,3.2,6.02,6,6.5,18th Century,No,FALSE
1006300024,370212,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,2675,4875,1400,3475,0,1400,0,0,0,0,2,2,4,6,18.92,75,19,52,Unknown,Semi-Attached,No,Corner,Unknown,No,1.82,2.43,0,4.8,18th Century,Yes,FALSE
1006300135,157593,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,740,2588,0,2588,0,0,0,0,0,0,1,3,1,1,35,21,35,20,Unknown,Attached,Yes,Inside,Full Basement Above Grade,No,3.5,2.43,0,4.8,80s,Yes,FALSE
1006300139,150928,Manhattan,02,3,Ladder,6,6400,Residential,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,811,2794,0,2794,0,0,0,0,0,0,1,3,1,1,36,21,36,21,Unknown,Attached,Yes,Inside,Full Basement Above Grade,No,3.45,2.43,0,4.8,80s,Yes,FALSE
1006320030,140340,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1525,2362,0,2362,0,0,0,0,0,0,2,3,3,3,25,97.25,25,36,Unknown,Attached,Yes,Inside,Full Basement Below Grade,Yes,1.55,4,2,4,18th Century,Yes,FALSE
1006320034,543150,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Retail,Commercial & Office Buildings,0,Unknown,2500,2580,2580,0,0,2580,0,0,0,0,1,1,0,1,60,43.08,60,43,Unknown,Semi-Attached,Yes,Inside,No Basement,No,1.03,4,2,4,18th Century,Yes,FALSE
1006320149,520094,Manhattan,02,3,Ladder,6,6400,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1576,4328,1082,3246,0,1082,0,0,0,0,1,4,3,4,19,90.42,19,58,Unknown,Semi-Attached,Yes,Inside,Unknown,No,2.75,3.44,2,6.5,18th Century,Yes,FALSE
